,min_temp
456,-83.0
457,-83.0
458,-85.0
459,-85.0
460,-84.0
461,-84.0
462,-85.0
463,-84.0
464,-86.0
465,-85.0
466,-85.0
467,-85.0
468,-86.0
469,-87.0
470,-85.0
471,-85.0
472,-86.0
473,-84.0
474,-84.0
475,-85.0
476,-85.0
477,-85.0
478,-85.0
479,-85.0
480,-86.0
481,-85.0
482,-85.0
483,-87.0
484,-86.0
485,-85.0
486,-86.0
487,-86.0
488,-86.0
489,-85.0
490,-84.0
491,-84.0
492,-85.0
493,-84.0
494,-85.0
495,-82.0
496,-84.0
497,-84.0
498,-83.0
499,-82.0
500,-83.0
501,-84.0
502,-84.0
503,-82.0
504,-82.0
505,-83.0
506,-82.0
507,-85.0
508,-84.0
509,-85.0
510,-82.0
511,-82.0
512,-83.0
513,-83.0
514,-83.0
515,-83.0
516,-82.0
517,-84.0
518,-84.0
519,-84.0
520,-81.0
521,-82.0
522,-82.0
523,-83.0
524,-84.0
525,-83.0
526,-84.0
527,-83.0
528,-85.0
529,-84.0
530,-85.0
531,-84.0
532,-85.0
533,-84.0
534,-82.0
535,-83.0
536,-82.0
537,-84.0
538,-83.0
539,-82.0
540,-83.0
541,-82.0
542,-84.0
543,-83.0
544,-82.0
545,-81.0
546,-82.0
547,-82.0
548,-81.0
549,-84.0
550,-82.0
551,-81.0
552,-79.0
553,-81.0
554,-82.0
555,-82.0
556,-81.0
557,-80.0
558,-80.0
559,-80.0
560,-81.0
561,-81.0
562,-80.0
563,-80.0
564,-80.0
565,-81.0
566,-81.0
567,-79.0
568,-80.0
569,-79.0
570,-80.0
571,-80.0
572,-79.0
573,-80.0
574,-79.0
575,-77.0
576,-80.0
577,-79.0
578,-79.0
579,-77.0
580,-78.0
581,-76.0
582,-77.0
583,-77.0
584,-78.0
585,-78.0
586,-77.0
587,-76.0
588,-75.0
589,-84.0
590,-79.0
591,-79.0
592,-78.0
593,-78.0
594,-80.0
595,-80.0
596,-80.0
597,-78.0
598,-77.0
599,-77.0
600,-76.0
601,-79.0
602,-77.0
603,-79.0
604,-75.0
605,-77.0
606,-76.0
607,-77.0
608,-77.0
609,-76.0
610,-77.0
611,-76.0
612,-76.0
613,-76.0
614,-75.0
615,-76.0
616,-75.0
617,-74.0
618,-77.0
619,-76.0
620,-75.0
621,-77.0
622,-76.0
623,-75.0
624,-75.0
625,-76.0
626,-76.0
627,-76.0
628,-76.0
629,-73.0
630,-77.0
631,-75.0
632,-77.0
633,-76.0
634,-76.0
635,-73.0
636,-75.0
637,-76.0
638,-77.0
639,-77.0
640,-74.0
641,-73.0
642,-74.0
643,-73.0
644,-74.0
645,-73.0
646,-75.0
647,-76.0
648,-74.0
649,-75.0
650,-76.0
651,-75.0
652,-75.0
653,-74.0
654,-73.0
655,-73.0
656,-76.0
657,-74.0
658,-75.0
659,-77.0
660,-76.0
661,-70.0
662,-72.0
663,-72.0
664,-75.0
665,-74.0
666,-76.0
667,-73.0
668,-71.0
669,-73.0
670,-72.0
671,-72.0
672,-71.0
673,-73.0
674,-73.0
675,-74.0
676,-73.0
677,-73.0
678,-71.0
679,-77.0
680,-70.0
681,-72.0
682,-75.0
683,-78.0
684,-73.0
685,-73.0
686,-70.0
687,-71.0
688,-73.0
689,-73.0
690,-70.0
691,-71.0
692,-71.0
693,-70.0
694,-73.0
695,-71.0
696,-72.0
697,-72.0
698,-70.0
699,-71.0
700,-72.0
701,-74.0
702,-71.0
703,-69.0
704,-69.0
705,-74.0
706,-74.0
707,-73.0
708,-68.0
709,-68.0
710,-68.0
711,-70.0
712,-71.0
713,-71.0
714,-68.0
715,-68.0
716,-65.0
717,-65.0
718,-67.0
719,-70.0
720,-67.0
721,-70.0
722,-69.0
723,-69.0
724,-73.0
725,-70.0
726,-69.0
727,-71.0
728,-67.0
729,-70.0
730,-69.0
731,-71.0
732,-75.0
733,-67.0
734,-68.0
735,-69.0
736,-74.0
737,-69.0
738,-68.0
739,-71.0
740,-68.0
741,-68.0
742,-71.0
743,-69.0
744,-67.0
745,-67.0
746,-68.0
747,-68.0
748,-71.0
749,-71.0
750,-68.0
751,-68.0
752,-68.0
753,-69.0
754,-68.0
755,-69.0
756,-69.0
757,-69.0
758,-69.0
759,-70.0
760,-74.0
761,-75.0
762,-69.0
763,-69.0
764,-68.0
765,-73.0
766,-74.0
767,-69.0
768,-69.0
769,-69.0
770,-68.0
771,-68.0
772,-73.0
773,-67.0
774,-66.0
775,-69.0
776,-68.0
777,-76.0
778,-73.0
779,-72.0
780,-69.0
781,-70.0
782,-70.0
783,-72.0
784,-70.0
785,-70.0
786,-71.0
787,-71.0
788,-71.0
789,-72.0
790,-74.0
791,-70.0
792,-72.0
793,-73.0
794,-76.0
795,-74.0
796,-71.0
797,-71.0
798,-73.0
799,-73.0
800,-70.0
801,-70.0
802,-72.0
803,-72.0
804,-71.0
805,-72.0
806,-75.0
807,-72.0
808,-70.0
809,-72.0
810,-72.0
811,-75.0
812,-70.0
813,-71.0
814,-68.0
815,-71.0
816,-71.0
817,-71.0
818,-76.0
819,-75.0
820,-71.0
821,-70.0
822,-73.0
823,-70.0
824,-75.0
825,-71.0
826,-71.0
827,-71.0
828,-71.0
829,-76.0
830,-71.0
831,-74.0
832,-72.0
833,-70.0
834,-73.0
835,-72.0
836,-74.0
837,-71.0
838,-76.0
839,-76.0
840,-72.0
841,-75.0
842,-75.0
843,-69.0
844,-71.0
845,-71.0
846,-73.0
847,-75.0
848,-72.0
849,-73.0
850,-73.0
851,-74.0
852,-74.0
853,-73.0
854,-70.0
855,-72.0
856,-77.0
857,-70.0
858,-73.0
859,-72.0
860,-73.0
861,-75.0
862,-69.0
863,-71.0
864,-73.0
865,-74.0
866,-78.0
867,-76.0
868,-71.0
869,-73.0
870,-71.0
871,-72.0
872,-75.0
873,-73.0
874,-74.0
875,-71.0
876,-72.0
877,-71.0
878,-71.0
879,-73.0
880,-72.0
881,-73.0
882,-73.0
883,-75.0
884,-75.0
885,-73.0
886,-79.0
887,-73.0
888,-73.0
889,-74.0
890,-76.0
891,-74.0
892,-78.0
893,-74.0
894,-74.0
895,-75.0
896,-74.0
897,-76.0
898,-73.0
899,-73.0
900,-73.0
901,-79.0
902,-74.0
903,-72.0
904,-74.0
905,-73.0
906,-74.0
907,-79.0
908,-77.0
909,-74.0
910,-74.0
911,-75.0
912,-78.0
913,-79.0
914,-79.0
915,-75.0
916,-74.0
917,-78.0
918,-81.0
919,-80.0
920,-77.0
921,-75.0
922,-76.0
923,-78.0
924,-79.0
925,-81.0
926,-63.0
